Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Regular season,20,2016-12-16,Ruch Chorzów,Wisła Kraków,1,0,1.0
2016-2017,Regular season,20,2016-12-17,Korona Kielce,Lechia Gdańsk,2,0,1.0
2016-2017,Regular season,20,2016-12-17,Jagiellonia,Wisła Płock,1,2,0.0
2016-2017,Regular season,20,2016-12-17,Cracovia,Lech Poznań,1,1,0.5
2016-2017,Regular season,20,2016-12-18,Śląsk Wrocław,Arka Gdynia,0,2,0.0
2016-2017,Regular season,20,2016-12-18,Legia Warsaw,Górnik Łęczna,5,0,1.0
2016-2017,Regular season,20,2016-12-19,Zagłębie Lubin,Piast Gliwice,2,1,1.0
2016-2017,Regular season,21,2017-02-10,Ruch Chorzów,Cracovia,0,1,0.0
2016-2017,Regular season,21,2017-02-10,Lech Poznań,Nieciecza,3,0,1.0
2016-2017,Regular season,21,2017-02-11,Wisła Kraków,Korona Kielce,2,0,1.0
2016-2017,Regular season,21,2017-02-11,Arka Gdynia,Legia Warsaw,0,1,0.0
2016-2017,Regular season,21,2017-02-12,Wisła Płock,Śląsk Wrocław,1,1,0.5
2016-2017,Regular season,21,2017-02-12,Lechia Gdańsk,Jagiellonia,3,0,1.0
2016-2017,Regular season,21,2017-02-13,Pogoń Szczecin,Piast Gliwice,1,1,0.5
2016-2017,Regular season,22,2017-02-17,Jagiellonia,Górnik Łęczna,5,0,1.0
2016-2017,Regular season,22,2017-02-17,Nieciecza,Lechia Gdańsk,1,1,0.5
2016-2017,Regular season,22,2017-02-18,Korona Kielce,Wisła Płock,4,2,1.0
2016-2017,Regular season,22,2017-02-18,Śląsk Wrocław,Wisła Kraków,1,0,1.0
2016-2017,Regular season,22,2017-02-18,Piast Gliwice,Lech Poznań,0,3,0.0
2016-2017,Regular season,22,2017-02-19,Cracovia,Pogoń Szczecin,1,1,0.5
2016-2017,Regular season,22,2017-02-19,Legia Warsaw,Ruch Chorzów,1,3,0.0
2016-2017,Regular season,22,2017-02-20,Zagłębie Lubin,Arka Gdynia,1,0,1.0
2016-2017,Regular season,23,2017-02-24,Arka Gdynia,Korona Kielce,4,1,1.0
2016-2017,Regular season,23,2017-02-24,Pogoń Szczecin,Lech Poznań,0,3,0.0
2016-2017,Regular season,23,2017-02-25,Wisła Płock,Zagłębie Lubin,2,1,1.0
2016-2017,Regular season,23,2017-02-25,Lechia Gdańsk,Cracovia,4,2,1.0
2016-2017,Regular season,23,2017-02-25,Wisła Kraków,Jagiellonia,3,1,1.0
2016-2017,Regular season,23,2017-02-26,Górnik Łęczna,Piast Gliwice,1,0,1.0
2016-2017,Regular season,23,2017-02-26,Legia Warsaw,Nieciecza,1,1,0.5
2016-2017,Regular season,23,2017-02-27,Ruch Chorzów,Śląsk Wrocław,2,0,1.0
2016-2017,Regular season,24,2017-03-03,Korona Kielce,Górnik Łęczna,2,1,1.0
2016-2017,Regular season,24,2017-03-03,Zagłębie Lubin,Legia Warsaw,1,3,0.0
2016-2017,Regular season,24,2017-03-04,Cracovia,Arka Gdynia,1,1,0.5
