Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,Relegation round,2,2016-04-30,Hamilton,Kilmarnock,0,4,0.0
2015-2016,Relegation round,2,2016-05-02,Dundee,Dundee United,2,1,1.0
2015-2016,Relegation round,3,2016-05-06,Inverness CT,Dundee United,2,3,0.0
2015-2016,Championship round,3,2016-05-07,Motherwell,St Johnstone,1,2,0.0
2015-2016,Championship round,3,2016-05-07,Hearts,Ross County,1,1,0.5
2015-2016,Relegation round,3,2016-05-07,Dundee,Hamilton,0,1,0.0
2015-2016,Relegation round,3,2016-05-07,Kilmarnock,Partick Thistle,0,2,0.0
2015-2016,Championship round,3,2016-05-08,Celtic,Aberdeen,3,2,1.0
2015-2016,Relegation round,4,2016-05-10,Dundee United,Partick Thistle,3,3,0.5
2015-2016,Championship round,4,2016-05-11,St Johnstone,Celtic,2,1,1.0
2015-2016,Championship round,4,2016-05-11,Ross County,Motherwell,1,3,0.0
2015-2016,Relegation round,4,2016-05-11,Dundee,Kilmarnock,1,1,0.5
2015-2016,Relegation round,4,2016-05-11,Hamilton,Inverness CT,0,1,0.0
2015-2016,Championship round,4,2016-05-12,Aberdeen,Hearts,0,1,0.0
2015-2016,Relegation round,5,2016-05-14,Inverness CT,Dundee,4,0,1.0
2015-2016,Relegation round,5,2016-05-14,Kilmarnock,Dundee United,2,4,0.0
2015-2016,Relegation round,5,2016-05-14,Partick Thistle,Hamilton,2,2,0.5
2015-2016,Championship round,5,2016-05-15,Hearts,St Johnstone,2,2,0.5
2015-2016,Championship round,5,2016-05-15,Celtic,Motherwell,7,0,1.0
2015-2016,Championship round,5,2016-05-15,Aberdeen,Ross County,0,4,0.0
2015-2016,Finals,,2016-05-19,Falkirk,Kilmarnock,1,0,1.0
2015-2016,Finals,,2016-05-22,Kilmarnock,Falkirk,4,0,1.0
