Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2021-2022,Regular season,23,2022-02-13,Panathinaikos,PAS Lamia,2,0,1.0
2021-2022,Regular season,23,2022-02-13,PAOK,Atromitos,1,0,1.0
2021-2022,Regular season,23,2022-02-13,Olympiacos,AEK Athens,1,0,1.0
2021-2022,Regular season,23,2022-02-14,PAS Giannina,Aris,2,0,1.0
2021-2022,Regular season,17,2022-02-16,Panetolikos,PAS Lamia,1,0,1.0
2021-2022,Regular season,22,2022-02-16,Atromitos,OFI Crete,2,2,0.5
2021-2022,Regular season,14,2022-02-16,Apollon Smyrnis,Panathinaikos,0,3,0.0
2021-2022,Regular season,24,2022-02-19,Ionikos,OFI Crete,0,0,0.5
2021-2022,Regular season,24,2022-02-19,Atromitos,Asteras Tripoli,2,0,1.0
2021-2022,Regular season,24,2022-02-19,Panetolikos,Panathinaikos,1,0,1.0
2021-2022,Regular season,24,2022-02-20,PAS Lamia,Apollon Smyrnis,1,2,0.0
2021-2022,Regular season,24,2022-02-20,Volos NFC,Olympiacos,0,1,0.0
2021-2022,Regular season,24,2022-02-20,AEK Athens,PAS Giannina,2,0,1.0
2021-2022,Regular season,24,2022-02-20,Aris,PAOK,0,0,0.5
2021-2022,Regular season,22,2022-02-23,PAS Lamia,Asteras Tripoli,0,2,0.0
2021-2022,Regular season,17,2022-02-23,Aris,Atromitos,3,0,1.0
2021-2022,Regular season,17,2022-02-23,Ionikos,Apollon Smyrnis,4,0,1.0
2021-2022,Regular season,25,2022-02-26,Asteras Tripoli,Aris,0,2,0.0
2021-2022,Regular season,25,2022-02-26,Panetolikos,Volos NFC,0,0,0.5
2021-2022,Regular season,25,2022-02-27,PAOK,Ionikos,1,1,0.5
2021-2022,Regular season,25,2022-02-27,Panathinaikos,AEK Athens,3,0,1.0
2021-2022,Regular season,25,2022-02-27,Olympiacos,OFI Crete,2,0,1.0
2021-2022,Regular season,25,2022-02-28,PAS Giannina,PAS Lamia,1,0,1.0
2021-2022,Regular season,25,2022-02-28,Apollon Smyrnis,Atromitos,0,2,0.0
2021-2022,Regular season,17,2022-03-02,Olympiacos,Asteras Tripoli,5,1,1.0
2021-2022,Regular season,17,2022-03-02,AEK Athens,PAOK,1,1,0.5
2021-2022,Regular season,16,2022-03-03,Atromitos,Volos NFC,2,1,1.0
2021-2022,Regular season,26,2022-03-06,OFI Crete,Apollon Smyrnis,2,0,1.0
2021-2022,Regular season,26,2022-03-06,Volos NFC,PAS Giannina,0,0,0.5
2021-2022,Regular season,26,2022-03-06,AEK Athens,Asteras Tripoli,2,1,1.0
2021-2022,Regular season,26,2022-03-06,Aris,Olympiacos,2,1,1.0
2021-2022,Regular season,26,2022-03-06,PAS Lamia,PAOK,0,2,0.0
2021-2022,Regular season,26,2022-03-06,Atromitos,Panathinaikos,0,2,0.0
2021-2022,Regular season,26,2022-03-06,Ionikos,Panetolikos,1,2,0.0
2021-2022,Championship round,1,2022-03-13,Olympiacos,Aris,2,1,1.0
2021-2022,Championship round,1,2022-03-13,Panathinaikos,AEK Athens,1,1,0.5
