Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,30,2019-04-27,Opava,Sparta Prague,0,3,0.0
2018-2019,Regular season,30,2019-04-27,Karviná,Slovan Liberec,2,1,1.0
2018-2019,Regular season,30,2019-04-27,Slavia Prague,Sigma Olomouc,2,1,1.0
2018-2019,Regular season,30,2019-04-27,Teplice,Příbram,0,0,0.5
2018-2019,First round,,2019-05-03,Fastav Zlín,Sigma Olomouc,1,0,1.0
2018-2019,First round,,2019-05-03,Teplice,Mladá Boleslav,0,8,0.0
2018-2019,Relegation round,1,2019-05-03,Dukla Prague,Bohemians 1905,1,1,0.5
2018-2019,Championship round,1,2019-05-04,Sparta Prague,Baník Ostrava,3,0,1.0
2018-2019,Championship round,1,2019-05-04,Slovan Liberec,Slavia Prague,0,0,0.5
2018-2019,Relegation round,1,2019-05-05,Slovácko,Příbram,5,1,1.0
2018-2019,Relegation round,1,2019-05-05,Opava,Karviná,1,0,1.0
2018-2019,Championship round,1,2019-05-05,Viktoria Plzeň,Jablonec,2,1,1.0
2018-2019,Relegation round,2,2019-05-11,Příbram,Karviná,1,0,1.0
2018-2019,Relegation round,2,2019-05-11,Opava,Dukla Prague,3,2,1.0
2018-2019,Relegation round,2,2019-05-11,Bohemians 1905,Slovácko,0,0,0.5
2018-2019,Championship round,2,2019-05-11,Jablonec,Baník Ostrava,2,0,1.0
2018-2019,Championship round,2,2019-05-11,Sparta Prague,Slovan Liberec,1,0,1.0
2018-2019,First round,,2019-05-12,Sigma Olomouc,Fastav Zlín,3,2,1.0
2018-2019,First round,,2019-05-12,Mladá Boleslav,Teplice,1,1,0.5
2018-2019,Championship round,2,2019-05-12,Slavia Prague,Viktoria Plzeň,3,1,1.0
2018-2019,Relegation round,3,2019-05-14,Slovácko,Opava,4,1,1.0
2018-2019,Relegation round,3,2019-05-14,Bohemians 1905,Příbram,1,4,0.0
2018-2019,Relegation round,3,2019-05-14,Karviná,Dukla Prague,3,0,1.0
2018-2019,Championship round,3,2019-05-14,Baník Ostrava,Slovan Liberec,0,1,0.0
2018-2019,Championship round,3,2019-05-15,Viktoria Plzeň,Sparta Prague,4,0,1.0
2018-2019,Championship round,3,2019-05-15,Slavia Prague,Jablonec,2,1,1.0
2018-2019,Second round,,2019-05-17,Fastav Zlín,Mladá Boleslav,3,1,1.0
2018-2019,Relegation round,4,2019-05-18,Dukla Prague,Slovácko,0,0,0.5
2018-2019,Relegation round,4,2019-05-18,Opava,Příbram,2,1,1.0
2018-2019,Relegation round,4,2019-05-18,Karviná,Bohemians 1905,0,1,0.0
2018-2019,Championship round,4,2019-05-19,Sparta Prague,Jablonec,2,0,1.0
2018-2019,Championship round,4,2019-05-19,Baník Ostrava,Slavia Prague,0,0,0.5
2018-2019,Championship round,4,2019-05-19,Slovan Liberec,Viktoria Plzeň,0,2,0.0
2018-2019,Second round,,2019-05-24,Mladá Boleslav,Fastav Zlín,3,0,1.0
2018-2019,Relegation round,5,2019-05-25,Slovácko,Karviná,2,0,1.0
2018-2019,Relegation round,5,2019-05-25,Příbram,Dukla Prague,3,2,1.0
2018-2019,Relegation round,5,2019-05-25,Bohemians 1905,Opava,1,1,0.5
2018-2019,Championship round,5,2019-05-26,Jablonec,Slovan Liberec,1,0,1.0
2018-2019,Championship round,5,2019-05-26,Slavia Prague,Sparta Prague,2,1,1.0
2018-2019,Championship round,5,2019-05-26,Viktoria Plzeň,Baník Ostrava,1,1,0.5
2018-2019,Czech 1/2 Relegation/Promotion Playoffs,,2019-05-28,Karviná,Vysočina Jihlava,2,1,1.0
2018-2019,Czech 1/2 Relegation/Promotion Playoffs,,2019-05-29,Zbrojovka Brno,Příbram,3,3,0.5
2018-2019,Czech 1/2 Relegation/Promotion Playoffs,,2019-06-02,Vysočina Jihlava,Karviná,1,1,0.5
2018-2019,Czech 1/2 Relegation/Promotion Playoffs,,2019-06-02,Příbram,Zbrojovka Brno,0,0,0.5
