Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Relegation round,11,2018-05-18,Sepsi,Juventus,2,1,1.0
2017-2018,Relegation round,11,2018-05-19,Concordia,Dinamo,0,4,0.0
2017-2018,Relegation round,11,2018-05-20,Voluntari,Botoșani,1,1,0.5
2017-2018,Championship round,10,2018-05-20,FCSB,Astra Giurgiu,1,0,1.0
2017-2018,Championship round,10,2018-05-20,Poli Iași,CS U Craiova,1,2,0.0
2017-2018,Championship round,10,2018-05-20,CFR Cluj,Viitorul,1,0,1.0
2017-2018,Relegation round,11,2018-05-21,Poli Timișoara,Gaz Metan,0,0,0.5
2017-2018,Relegation round,12,2018-05-22,Juventus,Concordia,1,3,0.0
2017-2018,Relegation round,12,2018-05-23,Dinamo,Voluntari,2,0,1.0
2017-2018,Relegation round,12,2018-05-24,Gaz Metan,Sepsi,1,1,0.5
2017-2018,Relegation round,12,2018-05-24,Botoșani,Poli Timișoara,0,0,0.5
2017-2018,Relegation round,13,2018-05-26,Voluntari,Concordia,2,2,0.5
2017-2018,Relegation round,13,2018-05-27,Sepsi,Botoșani,0,1,0.0
2017-2018,Relegation round,13,2018-05-28,Gaz Metan,Juventus,3,0,1.0
2017-2018,Relegation round,13,2018-05-28,Poli Timișoara,Dinamo,1,3,0.0
2017-2018,Relegation round,14,2018-06-01,Dinamo,Sepsi,0,0,0.5
2017-2018,Relegation round,14,2018-06-02,Botoșani,Gaz Metan,2,0,1.0
2017-2018,Relegation round,14,2018-06-02,Concordia,Poli Timișoara,0,1,0.0
2017-2018,Relegation round,14,2018-06-02,Juventus,Voluntari,2,2,0.5
