Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,24,2018-03-05,Aalborg,Horsens,1,1,0.5
2017-2018,Regular season,24,2018-03-05,Silkeborg,Midtjylland,1,2,0.0
2017-2018,Regular season,25,2018-03-09,Odense,AGF,0,1,0.0
2017-2018,Regular season,25,2018-03-10,Hobro,Silkeborg,1,1,0.5
2017-2018,Regular season,25,2018-03-11,SønderjyskE,Lyngby,1,0,1.0
2017-2018,Regular season,25,2018-03-11,Aalborg,Randers,4,0,1.0
2017-2018,Regular season,25,2018-03-11,Nordsjælland,Midtjylland,1,1,0.5
2017-2018,Regular season,25,2018-03-11,Horsens,Brøndby,1,1,0.5
2017-2018,Regular season,25,2018-03-12,FC Copenhagen,Helsingør,4,3,1.0
2017-2018,Regular season,26,2018-03-18,Silkeborg,FC Copenhagen,1,3,0.0
2017-2018,Regular season,26,2018-03-18,Brøndby,Hobro,2,1,1.0
2017-2018,Regular season,26,2018-03-18,Randers,Odense,4,1,1.0
2017-2018,Regular season,26,2018-03-18,Helsingør,Nordsjælland,1,0,1.0
2017-2018,Regular season,26,2018-03-18,AGF,Aalborg,0,0,0.5
2017-2018,Regular season,26,2018-03-18,Midtjylland,SønderjyskE,2,1,1.0
2017-2018,Regular season,26,2018-03-18,Lyngby,Horsens,1,1,0.5
2017-2018,Relegation round,1,2018-03-31,Silkeborg,Helsingør,2,3,0.0
2017-2018,Relegation round,1,2018-04-01,Hobro,AGF,1,3,0.0
2017-2018,Relegation round,1,2018-04-01,Randers,Lyngby,2,0,1.0
2017-2018,Relegation round,1,2018-04-02,Odense,SønderjyskE,2,1,1.0
2017-2018,Championship round,1,2018-04-02,FC Copenhagen,Nordsjælland,2,1,1.0
2017-2018,Championship round,1,2018-04-02,Aalborg,Brøndby,0,3,0.0
2017-2018,Championship round,1,2018-04-03,Horsens,Midtjylland,0,1,0.0
2017-2018,Championship round,2,2018-04-06,Nordsjælland,Aalborg,3,1,1.0
2017-2018,Relegation round,2,2018-04-07,Lyngby,Odense,2,2,0.5
2017-2018,Relegation round,2,2018-04-08,Helsingør,Hobro,0,1,0.0
2017-2018,Relegation round,2,2018-04-08,SønderjyskE,Randers,1,0,1.0
2017-2018,Championship round,2,2018-04-08,Brøndby,Horsens,5,1,1.0
2017-2018,Relegation round,2,2018-04-08,AGF,Silkeborg,2,1,1.0
2017-2018,Championship round,2,2018-04-09,Midtjylland,FC Copenhagen,3,2,1.0
2017-2018,Relegation round,3,2018-04-13,AGF,Helsingør,2,1,1.0
2017-2018,Relegation round,3,2018-04-14,SønderjyskE,Lyngby,1,0,1.0
2017-2018,Relegation round,3,2018-04-15,Odense,Randers,3,0,1.0
2017-2018,Championship round,3,2018-04-15,Aalborg,Horsens,2,0,1.0
2017-2018,Championship round,3,2018-04-15,Brøndby,FC Copenhagen,2,1,1.0
2017-2018,Championship round,3,2018-04-15,Nordsjælland,Midtjylland,1,2,0.0
2017-2018,Relegation round,3,2018-04-16,Hobro,Silkeborg,1,0,1.0
2017-2018,Relegation round,4,2018-04-17,Helsingør,AGF,1,0,1.0
2017-2018,Championship round,4,2018-04-18,Horsens,Nordsjælland,2,2,0.5
2017-2018,Relegation round,4,2018-04-18,Randers,Odense,1,1,0.5
2017-2018,Championship round,4,2018-04-18,FC Copenhagen,Aalborg,2,1,1.0
2017-2018,Relegation round,4,2018-04-19,Lyngby,SønderjyskE,1,1,0.5
2017-2018,Relegation round,4,2018-04-19,Silkeborg,Hobro,2,0,1.0
2017-2018,Championship round,4,2018-04-19,Midtjylland,Brøndby,2,3,0.0
2017-2018,Championship round,5,2018-04-21,FC Copenhagen,Horsens,4,1,1.0
2017-2018,Relegation round,5,2018-04-22,Helsingør,Silkeborg,0,0,0.5
2017-2018,Relegation round,5,2018-04-22,Odense,Lyngby,3,0,1.0
2017-2018,Championship round,5,2018-04-22,Aalborg,Midtjylland,3,3,0.5
2017-2018,Relegation round,5,2018-04-22,Randers,SønderjyskE,3,0,1.0
2017-2018,Championship round,5,2018-04-22,Nordsjælland,Brøndby,3,4,0.0
2017-2018,Relegation round,5,2018-04-23,AGF,Hobro,0,1,0.0
2017-2018,Championship round,6,2018-04-27,Horsens,FC Copenhagen,2,3,0.0
2017-2018,Relegation round,6,2018-04-29,Lyngby,Randers,1,3,0.0
2017-2018,Relegation round,6,2018-04-29,SønderjyskE,Odense,2,0,1.0
2017-2018,Championship round,6,2018-04-29,Midtjylland,Aalborg,3,0,1.0
2017-2018,Championship round,6,2018-04-29,Brøndby,Nordsjælland,3,1,1.0
2017-2018,Relegation round,6,2018-04-30,Silkeborg,AGF,2,5,0.0
2017-2018,Relegation round,6,2018-04-30,Hobro,Helsingør,4,1,1.0
2017-2018,Championship round,7,2018-05-04,Horsens,Aalborg,2,1,1.0
2017-2018,Quarter-finals,,2018-05-06,AGF,Odense,3,2,1.0
2017-2018,First round,,2018-05-06,Helsingør,Randers,1,1,0.5
2017-2018,Championship round,7,2018-05-06,FC Copenhagen,Brøndby,1,1,0.5
2017-2018,Quarter-finals,,2018-05-06,SønderjyskE,Hobro,1,0,1.0
2017-2018,First round,,2018-05-06,Lyngby,Silkeborg,2,1,1.0
2017-2018,Championship round,7,2018-05-07,Midtjylland,Nordsjælland,2,1,1.0
2017-2018,Championship round,8,2018-05-11,Nordsjælland,Horsens,2,1,1.0
2017-2018,First round,,2018-05-13,Randers,Helsingør,2,1,1.0
2017-2018,First round,,2018-05-13,Silkeborg,Lyngby,2,2,0.5
2017-2018,Quarter-finals,,2018-05-13,Hobro,SønderjyskE,3,2,1.0
2017-2018,Quarter-finals,,2018-05-13,Odense,AGF,2,3,0.0
2017-2018,Championship round,8,2018-05-13,Aalborg,FC Copenhagen,1,0,1.0
2017-2018,Championship round,8,2018-05-14,Brøndby,Midtjylland,0,1,0.0
2017-2018,Winners' play-off,,2018-05-17,Helsingør,Silkeborg,1,1,0.5
2017-2018,Winners' play-off,,2018-05-17,Lyngby,Randers,1,2,0.0
2017-2018,Championship round,9,2018-05-18,FC Copenhagen,Midtjylland,0,2,0.0
2017-2018,Championship round,9,2018-05-18,Aalborg,Nordsjælland,0,0,0.5
2017-2018,Championship round,9,2018-05-18,Horsens,Brøndby,2,2,0.5
2017-2018,Semi-finals,,2018-05-19,AGF,SønderjyskE,2,2,0.5
2017-2018,Winners' play-off,,2018-05-21,Randers,Lyngby,2,1,1.0
2017-2018,Winners' play-off,,2018-05-21,Silkeborg,Helsingør,4,3,1.0
2017-2018,Championship round,10,2018-05-21,Brøndby,Aalborg,1,1,0.5
2017-2018,Championship round,10,2018-05-21,Midtjylland,Horsens,1,0,1.0
2017-2018,Championship round,10,2018-05-21,Nordsjælland,FC Copenhagen,0,0,0.5
2017-2018,Semi-finals,,2018-05-22,SønderjyskE,AGF,0,2,0.0
2017-2018,Final,,2018-05-25,FC Copenhagen,AGF,4,1,1.0
