Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Ligue 1,18,2016-12-18,Nice,Dijon,2,1,1.0
2016-2017,Ligue 1,18,2016-12-18,Marseille,Lille,2,0,1.0
2016-2017,Ligue 1,18,2016-12-18,Monaco,Lyon,1,3,0.0
2016-2017,Ligue 1,19,2016-12-21,Dijon,Toulouse,2,0,1.0
2016-2017,Ligue 1,19,2016-12-21,Nantes,Montpellier,1,0,1.0
2016-2017,Ligue 1,19,2016-12-21,Bordeaux,Nice,0,0,0.5
2016-2017,Ligue 1,19,2016-12-21,Bastia,Marseille,1,2,0.0
2016-2017,Ligue 1,19,2016-12-21,Saint-Étienne,Nancy,0,0,0.5
2016-2017,Ligue 1,19,2016-12-21,Metz,Guingamp,2,2,0.5
2016-2017,Ligue 1,19,2016-12-21,Lyon,Angers,2,0,1.0
2016-2017,Ligue 1,19,2016-12-21,Paris S-G,Lorient,5,0,1.0
2016-2017,Ligue 1,19,2016-12-21,Monaco,Caen,2,1,1.0
2016-2017,Ligue 1,19,2016-12-21,Lille,Rennes,1,1,0.5
2016-2017,Ligue 1,20,2017-01-13,Lille,Saint-Étienne,1,1,0.5
2016-2017,Ligue 1,20,2017-01-14,Rennes,Paris S-G,0,1,0.0
2016-2017,Ligue 1,20,2017-01-14,Angers,Bordeaux,1,1,0.5
2016-2017,Ligue 1,20,2017-01-14,Toulouse,Nantes,0,1,0.0
2016-2017,Ligue 1,20,2017-01-14,Nancy,Bastia,1,0,1.0
2016-2017,Ligue 1,20,2017-01-14,Lorient,Guingamp,3,1,1.0
2016-2017,Ligue 1,20,2017-01-14,Montpellier,Dijon,1,1,0.5
2016-2017,Ligue 1,20,2017-01-15,Nice,Metz,0,0,0.5
2016-2017,Ligue 1,20,2017-01-15,Caen,Lyon,3,2,1.0
2016-2017,Ligue 1,20,2017-01-15,Marseille,Monaco,1,4,0.0
2016-2017,Ligue 1,17,2017-01-18,Nantes,Caen,1,0,1.0
2016-2017,Ligue 1,21,2017-01-20,Bastia,Nice,1,1,0.5
2016-2017,Ligue 1,21,2017-01-21,Nantes,Paris S-G,0,2,0.0
2016-2017,Ligue 1,21,2017-01-21,Metz,Montpellier,2,0,1.0
2016-2017,Ligue 1,21,2017-01-21,Bordeaux,Toulouse,1,0,1.0
2016-2017,Ligue 1,21,2017-01-21,Dijon,Lille,0,0,0.5
2016-2017,Ligue 1,21,2017-01-21,Guingamp,Rennes,1,1,0.5
2016-2017,Ligue 1,21,2017-01-22,Monaco,Lorient,4,0,1.0
2016-2017,Ligue 1,21,2017-01-22,Saint-Étienne,Angers,2,1,1.0
