Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Ukrainian Premier League,20,2020-02-29,FK Kolos,Karpaty Lviv,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,20,2020-03-01,Zorya Luhansk,Olimpik Donetsk,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,20,2020-03-01,Vorskla Poltava,Shakhtar,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,21,2020-03-03,Dynamo Kyiv,FK Kolos,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,21,2020-03-04,FC Mariupol,Vorskla Poltava,3.0,0.0,1.0
2019-2020,Ukrainian Premier League,21,2020-03-04,Zorya Luhansk,FC Lviv,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,21,2020-03-04,Olimpik Donetsk,Desna Chernihiv,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,21,2020-03-04,Shakhtar,SK Dnipro-1,4.0,1.0,1.0
2019-2020,Ukrainian Premier League,21,2020-03-04,Karpaty Lviv,FC Oleksandriya,0.0,4.0,0.0
2019-2020,Ukrainian Premier League,22,2020-03-07,Vorskla Poltava,Olimpik Donetsk,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,22,2020-03-07,Desna Chernihiv,Zorya Luhansk,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,22,2020-03-07,FC Oleksandriya,Dynamo Kyiv,1.0,3.0,0.0
2019-2020,Ukrainian Premier League,22,2020-03-08,FC Lviv,Karpaty Lviv,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,22,2020-03-08,FK Kolos,Shakhtar,3.0,4.0,0.0
2019-2020,Ukrainian Premier League,22,2020-03-08,SK Dnipro-1,FC Mariupol,3.0,0.0,1.0
2019-2020,Relegation round,1,2020-03-14,FC Lviv,Karpaty Lviv,1.0,1.0,0.5
2019-2020,Championship round,1,2020-03-14,FC Oleksandriya,FK Kolos,4.0,2.0,1.0
2019-2020,Relegation round,1,2020-03-14,SK Dnipro-1,FC Mariupol,2.0,0.0,1.0
2019-2020,Championship round,1,2020-03-15,Zorya Luhansk,Shakhtar,1.0,0.0,1.0
2019-2020,Championship round,1,2020-03-15,Dynamo Kyiv,Desna Chernihiv,1.0,1.0,0.5
2019-2020,Relegation round,1,2020-03-15,Olimpik Donetsk,Vorskla Poltava,1.0,1.0,0.5
2019-2020,Championship round,2,2020-05-30,FK Kolos,Desna Chernihiv,0.0,2.0,0.0
2019-2020,Championship round,2,2020-05-30,FC Oleksandriya,Zorya Luhansk,1.0,0.0,1.0
2019-2020,Relegation round,2,2020-05-30,SK Dnipro-1,Olimpik Donetsk,3.0,1.0,1.0
2019-2020,Relegation round,2,2020-05-31,Vorskla Poltava,FC Lviv,1.0,1.0,0.5
2019-2020,Championship round,2,2020-05-31,Shakhtar,Dynamo Kyiv,3.0,1.0,1.0
2019-2020,Championship round,3,2020-06-06,Zorya Luhansk,FK Kolos,1.0,0.0,1.0
2019-2020,Championship round,3,2020-06-06,Shakhtar,Desna Chernihiv,3.0,2.0,1.0
2019-2020,Relegation round,3,2020-06-07,Olimpik Donetsk,FC Mariupol,2.0,2.0,0.5
2019-2020,Championship round,3,2020-06-07,Dynamo Kyiv,FC Oleksandriya,5.0,1.0,1.0
2019-2020,Relegation round,3,2020-06-07,Vorskla Poltava,Karpaty Lviv,,,
2019-2020,Relegation round,3,2020-06-07,FC Lviv,SK Dnipro-1,1.0,2.0,0.0
2019-2020,Relegation round,4,2020-06-13,FC Mariupol,Vorskla Poltava,1.0,1.0,0.5
2019-2020,Championship round,4,2020-06-13,Zorya Luhansk,Dynamo Kyiv,1.0,3.0,0.0
2019-2020,Relegation round,4,2020-06-13,Olimpik Donetsk,FC Lviv,2.0,0.0,1.0
2019-2020,Championship round,4,2020-06-14,FK Kolos,Shakhtar,0.0,1.0,0.0
2019-2020,Championship round,4,2020-06-14,FC Oleksandriya,Desna Chernihiv,1.0,5.0,0.0
2019-2020,Relegation round,5,2020-06-19,FC Mariupol,FC Lviv,3.0,0.0,1.0
2019-2020,Relegation round,5,2020-06-19,Vorskla Poltava,SK Dnipro-1,2.0,0.0,1.0
2019-2020,Championship round,5,2020-06-20,Shakhtar,FC Oleksandriya,3.0,2.0,1.0
2019-2020,Relegation round,5,2020-06-21,Karpaty Lviv,Olimpik Donetsk,,,
2019-2020,Championship round,5,2020-06-21,Desna Chernihiv,Zorya Luhansk,1.0,2.0,0.0
2019-2020,Championship round,5,2020-06-22,Dynamo Kyiv,FK Kolos,2.0,1.0,1.0
2019-2020,Championship round,6,2020-06-27,FK Kolos,FC Oleksandriya,2.0,1.0,1.0
2019-2020,Relegation round,6,2020-06-27,Karpaty Lviv,FC Lviv,1.0,1.0,0.5
2019-2020,Championship round,6,2020-06-27,Shakhtar,Zorya Luhansk,0.0,0.0,0.5
2019-2020,Relegation round,6,2020-06-28,FC Mariupol,SK Dnipro-1,2.0,1.0,1.0
2019-2020,Championship round,6,2020-06-28,Desna Chernihiv,Dynamo Kyiv,3.0,2.0,1.0
2019-2020,Relegation round,6,2020-06-28,Vorskla Poltava,Olimpik Donetsk,0.0,0.0,0.5
2019-2020,Relegation round,2,2020-07-01,Karpaty Lviv,FC Mariupol,0.0,3.0,0.0
2019-2020,Relegation round,7,2020-07-03,FC Lviv,Vorskla Poltava,2.0,2.0,0.5
2019-2020,Relegation round,7,2020-07-04,FC Mariupol,Karpaty Lviv,3.0,0.0,1.0
2019-2020,Championship round,7,2020-07-04,Dynamo Kyiv,Shakhtar,2.0,3.0,0.0
2019-2020,Championship round,7,2020-07-05,Desna Chernihiv,FK Kolos,5.0,1.0,1.0
2019-2020,Championship round,7,2020-07-05,Zorya Luhansk,FC Oleksandriya,2.0,2.0,0.5
2019-2020,Relegation round,7,2020-07-05,Olimpik Donetsk,SK Dnipro-1,0.0,2.0,0.0
2019-2020,Relegation round,4,2020-07-08,Karpaty Lviv,SK Dnipro-1,,,
2019-2020,Championship round,8,2020-07-11,FK Kolos,Zorya Luhansk,0.0,2.0,0.0
